date,category,product,broadcast_time,sales,orders,host
2026-04-08,식품,한우 불고기 선물세트,07:00,16135458,66,윤채원
2026-04-09,주방,프리미엄 전기밥솥 10인용,14:00,9925819,45,김민지
2026-04-09,패션,남성 캐주얼 블레이저,09:00,5370371,28,윤채원
2026-04-09,건강,장 건강 프리바이오틱스,16:00,6906171,27,윤채원
2026-04-09,가전,로봇청소기 PRO,14:00,10707093,54,최서연
2026-04-09,식품,한우 불고기 선물세트,09:00,5673160,28,윤채원
2026-04-10,주방,IH 인덕션 레인지,09:00,18896040,88,한지수
2026-04-10,패션,경량 메시 운동화,21:00,15621403,78,한지수
2026-04-10,건강,6년근 홍삼 진액 스틱,19:00,11561851,55,박지영
2026-04-10,가전,공기청정기 20평형,16:00,12175645,66,정예린
2026-04-10,식품,냉동 갈비탕 세트,09:00,17432609,112,윤채원
2026-04-11,주방,스테인리스 압력냄비,16:00,20985670,86,최서연
2026-04-11,패션,오버핏 반팔 티셔츠,11:00,14375840,120,박지영
2026-04-11,건강,간 건강 밀크씨슬,14:00,22631949,151,윤채원
2026-04-11,가전,포터블 블루투스 스피커,07:00,17965455,137,한지수
2026-04-11,식품,샤인머스캣 2송이,11:00,24847967,121,이수현
2026-04-12,주방,스테인리스 압력냄비,14:00,14641595,63,최서연
2026-04-12,패션,경량 메시 운동화,19:00,15234871,149,최서연
2026-04-12,건강,면역 아연 셀레늄,21:00,13566791,55,김민지
2026-04-12,가전,로봇청소기 PRO,09:00,14925141,64,오소영
2026-04-12,식품,국내산 벌꿀 세트,09:00,26784965,108,한지수
2026-04-13,주방,전기 멀티쿠커,16:00,8735453,41,윤채원
2026-04-13,패션,스트레이트 데님 팬츠,09:00,5617314,24,이수현
2026-04-13,건강,눈 건강 아스타잔틴,19:00,10218216,59,윤채원
2026-04-13,가전,로봇청소기 PRO,09:00,16955326,89,김민지
2026-04-13,식품,한우 불고기 선물세트,07:00,11145811,74,오소영
2026-04-14,주방,음식물 처리기,21:00,12298092,80,윤채원
2026-04-14,패션,여성 니트 가디건,11:00,7557052,33,한지수
2026-04-14,건강,혈행 개선 피크노제놀,14:00,6439171,39,한지수
2026-04-14,가전,음이온 가습기,09:00,17375991,93,오소영
2026-04-14,식품,제주 노지 감귤 3kg,07:00,12381359,71,박지영
2026-04-15,주방,스테인리스 압력냄비,07:00,6631778,29,한지수
2026-04-15,패션,남성 캐주얼 블레이저,09:00,9979590,74,정예린
2026-04-15,건강,혈행 개선 피크노제놀,09:00,8227833,39,한지수
2026-04-15,가전,전기 족욕기,19:00,12035952,55,정예린
2026-04-15,식품,한우 불고기 선물세트,16:00,11053516,53,이수현
2026-04-16,주방,전기그릴 팬,07:00,16727477,97,정예린
2026-04-16,패션,스트레이트 데님 팬츠,07:00,10720873,95,윤채원
2026-04-16,건강,눈 건강 아스타잔틴,09:00,13526455,109,오소영
2026-04-16,가전,스틱형 무선청소기,07:00,19780461,87,한지수
2026-04-16,식품,국내산 포기김치 5kg,11:00,18331745,163,윤채원
2026-04-17,주방,에어프라이어 3.5L,11:00,15524034,122,김민지
2026-04-17,패션,스트레이트 데님 팬츠,21:00,13887413,89,오소영
2026-04-17,건강,간 건강 밀크씨슬,11:00,10991228,61,최서연
2026-04-17,가전,포터블 블루투스 스피커,21:00,17714326,81,오소영
2026-04-17,식품,냉동 갈비탕 세트,11:00,11985016,97,윤채원
2026-04-18,주방,IH 인덕션 레인지,16:00,24086318,177,이수현
2026-04-18,패션,UV차단 래쉬가드,14:00,24094765,100,박지영
2026-04-18,건강,혈행 개선 피크노제놀,07:00,25509317,157,최서연
2026-04-18,가전,공기청정기 20평형,07:00,19471572,179,최서연
2026-04-18,식품,냉동 갈비탕 세트,14:00,20890788,144,박지영
2026-04-19,주방,핸드블렌더 세트,11:00,7667186,41,김민지
2026-04-19,패션,오버핏 반팔 티셔츠,19:00,10180381,55,윤채원
2026-04-19,건강,눈 건강 아스타잔틴,11:00,24367017,237,이수현
2026-04-19,가전,공기청정기 20평형,16:00,27162090,189,박지영
2026-04-19,식품,국내산 벌꿀 세트,19:00,10712070,72,최서연
2026-04-20,주방,전기그릴 팬,07:00,9540178,45,이수현
2026-04-20,패션,UV차단 래쉬가드,14:00,10828304,49,김민지
2026-04-20,건강,혈행 개선 피크노제놀,19:00,12072362,49,이수현
2026-04-20,가전,가정용 제습기 12L,16:00,10423375,51,윤채원
2026-04-20,식품,유기농 쌀 10kg,09:00,6478961,63,김민지
2026-04-21,주방,전기그릴 팬,11:00,10872859,72,오소영
2026-04-21,패션,남성 캐주얼 블레이저,11:00,11495982,72,오소영
2026-04-21,건강,6년근 홍삼 진액 스틱,19:00,12009486,49,박지영
2026-04-21,가전,로봇청소기 PRO,14:00,18811755,132,윤채원
2026-04-21,식품,샤인머스캣 2송이,16:00,8569593,35,이수현
2026-04-22,주방,프리미엄 전기밥솥 10인용,09:00,12942640,70,최서연
2026-04-22,패션,오버핏 반팔 티셔츠,09:00,12878478,59,정예린
2026-04-22,건강,루테인·오메가3 세트,07:00,6005417,28,오소영
2026-04-22,가전,전기 족욕기,19:00,16389995,68,김민지
2026-04-22,식품,유기농 쌀 10kg,19:00,17107401,73,윤채원
2026-04-23,주방,스테인리스 압력냄비,16:00,15642444,123,정예린
2026-04-23,패션,UV차단 래쉬가드,09:00,17275883,103,한지수
2026-04-23,건강,혈행 개선 피크노제놀,21:00,5839490,29,한지수
2026-04-23,가전,가정용 제습기 12L,16:00,8547816,71,윤채원
2026-04-23,식품,제주 노지 감귤 3kg,19:00,19734705,107,오소영
2026-04-24,주방,핸드블렌더 세트,19:00,16455629,108,윤채원
2026-04-24,패션,레더 로퍼,14:00,19328797,154,최서연
2026-04-24,건강,면역 아연 셀레늄,11:00,19983326,81,오소영
2026-04-24,가전,무선 핸디 청소기,19:00,16438706,127,최서연
2026-04-24,식품,유기농 쌀 10kg,14:00,17121749,162,박지영
2026-04-25,주방,전기그릴 팬,07:00,9022121,67,이수현
2026-04-25,패션,사계절 슬랙스,14:00,16357475,109,윤채원
2026-04-25,건강,눈 건강 아스타잔틴,11:00,25209853,187,이수현
2026-04-25,가전,포터블 블루투스 스피커,21:00,26783285,144,정예린
2026-04-25,식품,반찬 구독 14종,09:00,21543237,101,최서연
2026-04-26,주방,핸드블렌더 세트,14:00,7906824,32,최서연
2026-04-26,패션,여성 니트 가디건,14:00,21630968,160,김민지
2026-04-26,건강,간 건강 밀크씨슬,21:00,25002327,177,오소영
2026-04-26,가전,음이온 가습기,11:00,13041021,53,정예린
2026-04-26,식품,샤인머스캣 2송이,11:00,18410148,82,오소영
2026-04-27,주방,전기 멀티쿠커,09:00,19339806,124,오소영
2026-04-27,패션,레더 로퍼,19:00,14003888,62,최서연
2026-04-27,건강,간 건강 밀크씨슬,21:00,15431470,75,윤채원
2026-04-27,가전,공기청정기 20평형,07:00,11243417,49,이수현
2026-04-27,식품,훈제 연어 세트,21:00,19473216,114,김민지
2026-04-28,주방,전기 멀티쿠커,14:00,19234027,189,한지수
2026-04-28,패션,크로스백 세트,14:00,18643555,126,윤채원
2026-04-28,건강,6년근 홍삼 진액 스틱,21:00,15214965,73,김민지
2026-04-28,가전,무선 핸디 청소기,21:00,10524527,54,최서연
2026-04-28,식품,한우 불고기 선물세트,14:00,7060692,36,한지수
2026-04-29,주방,전기그릴 팬,07:00,12178751,83,김민지
2026-04-29,패션,사계절 슬랙스,11:00,19265592,93,정예린
2026-04-29,건강,6년근 홍삼 진액 스틱,07:00,17060451,70,오소영
2026-04-29,가전,가정용 제습기 12L,16:00,19647127,95,박지영
2026-04-29,식품,한우 불고기 선물세트,09:00,18444249,175,최서연
2026-04-30,주방,전기그릴 팬,19:00,16722436,159,한지수
2026-04-30,패션,UV차단 래쉬가드,16:00,14780509,72,이수현
2026-04-30,건강,눈 건강 아스타잔틴,11:00,16407021,109,한지수
2026-04-30,가전,가정용 제습기 12L,11:00,12960363,89,박지영
2026-04-30,식품,샤인머스캣 2송이,07:00,6346201,26,한지수
